   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:394(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:407(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:416(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__getattr__)
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:482(CFunctionType)
      131    0.000    0.000    0.000    0.000 __init__.py:66(_cnfmerge)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:86(Event)
        4    0.000    0.000    0.000    0.000 _abcoll.py:363(__contains__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.007    0.007    0.012    0.012 _fix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fix.py:21(convert_path)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       41    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
  2591549    1.140    0.000    1.140    0.000 _weakrefset.py:68(__contains__)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:79(add)
        6    0.000    0.000    0.001    0.000 abc.py:116(__new__)
        6    0.000    0.000    0.000    0.000 abc.py:119(<setcomp>)
        4    0.000    0.000    0.000    0.000 abc.py:135(register)
  2213349    1.747    0.000    2.888    0.000 abc.py:158(__instancecheck__)
    28/10    0.000    0.000    0.000    0.000 abc.py:174(__subclasscheck__)
       38    0.000    0.000    0.000    0.000 abc.py:8(abstractmethod)
        1    0.000    0.000    0.001    0.001 collections.py:293(namedtuple)
       34    0.000    0.000    0.000    0.000 collections.py:334(<genexpr>)
        4    0.000    0.000    0.000    0.000 collections.py:354(<genexpr>)
        4    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
        5    0.000    0.000    0.000    0.000 collections.py:57(__setitem__)
        1    0.000    0.000    0.000    0.000 constants.py:4(<module>)
        1    0.002    0.002    0.008    0.008 decimal.py:113(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:159(DecimalException)
        1    0.000    0.000    0.000    0.000 decimal.py:182(Clamped)
        1    0.000    0.000    0.000    0.000 decimal.py:194(InvalidOperation)
        1    0.000    0.000    0.000    0.000 decimal.py:223(ConversionSyntax)
        1    0.000    0.000    0.000    0.000 decimal.py:233(DivisionByZero)
        1    0.000    0.000    0.000    0.000 decimal.py:249(DivisionImpossible)
        1    0.000    0.000    0.000    0.000 decimal.py:260(DivisionUndefined)
        1    0.000    0.000    0.000    0.000 decimal.py:271(Inexact)
        1    0.000    0.000    0.000    0.000 decimal.py:283(InvalidContext)
        1    0.000    0.000    0.000    0.000 decimal.py:297(Rounded)
        1    0.000    0.000    0.000    0.000 decimal.py:309(Subnormal)
        1    0.000    0.000    0.000    0.000 decimal.py:320(Overflow)
        1    0.000    0.000    0.000    0.000 decimal.py:358(Underflow)
        1    0.000    0.000    0.000    0.000 decimal.py:3779(_ContextManager)
        1    0.000    0.000    0.000    0.000 decimal.py:3794(Context)
        3    0.000    0.000    0.000    0.000 decimal.py:3813(__init__)
       27    0.000    0.000    0.000    0.000 decimal.py:3840(<genexpr>)
       27    0.000    0.000    0.000    0.000 decimal.py:3847(<genexpr>)
        1    0.000    0.000    0.000    0.000 decimal.py:508(Decimal)
        6    0.000    0.000    0.000    0.000 decimal.py:517(__new__)
        1    0.000    0.000    0.000    0.000 decimal.py:5472(_WorkRep)
